DF,Distrito Federal
DF,Distrito Federal,Brasília
DF,Distrito Federal,Brasília,SHIN
DF,Distrito Federal,Brasília,Shis
DF,Distrito Federal,Brasília,Shopping Asa Sul
DF,Distrito Federal,Brasília,Shopping Brasília
DF,Distrito Federal,Brasília,Sia
DF,Distrito Federal,Brasília,Sia Guará
DF,Distrito Federal,Brasília,Sia Sul
DF,Distrito Federal,Brasília,Sig
DF,Distrito Federal,Brasília,Sig Sul
DF,Distrito Federal,Brasília,SMHN
DF,Distrito Federal,Brasília,SMLN
DF,Distrito Federal,Brasília,SMPW
DF,Distrito Federal,Brasília,Sobradinho
DF,Distrito Federal,Brasília,Sobradinho II
DF,Distrito Federal,Brasília,SOF
DF,Distrito Federal,Brasília,Sof Sul
DF,Distrito Federal,Brasília,SRTVS
DF,Distrito Federal,Brasília,St A Sul
DF,Distrito Federal,Brasília,St Aeroporto
DF,Distrito Federal,Brasília,St B Norte
DF,Distrito Federal,Brasília,St C E Norte
DF,Distrito Federal,Brasília,St C E Sul
DF,Distrito Federal,Brasília,St Com Gama
DF,Distrito Federal,Brasília,St Complementares
DF,Distrito Federal,Brasília,St D Norte
DF,Distrito Federal,Brasília,St D Sul
DF,Distrito Federal,Brasília,St de Mansões Dom Bosco
DF,Distrito Federal,Brasília,St de Oficinas Norte
DF,Distrito Federal,Brasília,St De R. Tv Norte
DF,Distrito Federal,Brasília,St Diversão Norte
DF,Distrito Federal,Brasília,ST E  Sul Taguatinga
DF,Distrito Federal,Brasília,St G A Norte (Oeste)
DF,Distrito Federal,Brasília,St G A Sul (Leste)
DF,Distrito Federal,Brasília,St G A Sul (Leste)
DF,Distrito Federal,Brasília,St G A Sul (Oeste)
DF,Distrito Federal,Brasília,St G A Sul (Oeste)
DF,Distrito Federal,Brasília,St Grande Colorado
DF,Distrito Federal,Brasília,St H L Norte
DF,Distrito Federal,Brasília,St H Norte
DF,Distrito Federal,Brasília,St H Sul
DF,Distrito Federal,Brasília,St Hab 1 Sul
DF,Distrito Federal,Brasília,St Hab I Norte
DF,Distrito Federal,Brasília,St Hab I Sul
DF,Distrito Federal,Brasília,St Hab Individuais Sul
DF,Distrito Federal,Brasília,St Hab J. Botânico
DF,Distrito Federal,Brasília,St Hab l Sul
DF,Distrito Federal,Brasília,St Habitações Individuas Norte
DF,Distrito Federal,Brasília,St Hosp Local Norte
DF,Distrito Federal,Brasília,St Hoteleiro Sul
DF,Distrito Federal,Brasília,St Ind E Abast
DF,Distrito Federal,Brasília,St Indústria Gráfica
DF,Distrito Federal,Brasília,St M H Sul
DF,Distrito Federal,Brasília,St M Norte
DF,Distrito Federal,Brasília,St M P Way
DF,Distrito Federal,Brasília,St Mansões Park Wauy
DF,Distrito Federal,Brasília,St Noroeste
DF,Distrito Federal,Brasília,St Oficina Sul
DF,Distrito Federal,Brasília,St R T Norte
DF,Distrito Federal,Brasília,St R T Sul
DF,Distrito Federal,Brasília,St Sl Gama
DF,Distrito Federal,Brasília,St. 'O' Ceilândia
DF,Distrito Federal,Brasília,St. Comercial Central
DF,Distrito Federal,Brasília,St. Comercial Centrral
DF,Distrito Federal,Brasília,St. Comercial Sul
DF,Distrito Federal,Brasília,St. de Mansões Parkway
DF,Distrito Federal,Brasília,St. Gráfico
DF,Distrito Federal,Brasília,St. Leste Universsitário
DF,Distrito Federal,Brasília,St. Sudoeste
DF,Distrito Federal,Brasília,Sudeoste
DF,Distrito Federal,Brasília,Sudoeste
DF,Distrito Federal,Brasília,Sudoete
DF,Distrito Federal,Brasília,Sul (Águas Claras)
DF,Distrito Federal,Brasília,Sul Águas Claras
DF,Distrito Federal,Brasília,Suldoeste
DF,Distrito Federal,Brasília,Sz Industrial
DF,Distrito Federal,Brasília,Tag Norte
DF,Distrito Federal,Brasília,Tag. Sul
DF,Distrito Federal,Brasília,Tagatinga Norte
DF,Distrito Federal,Brasília,Taguainga Norte
DF,Distrito Federal,Brasília,Taguantinga Norte
DF,Distrito Federal,Brasília,Taguatiga Norte
DF,Distrito Federal,Brasília,Taguatina
DF,Distrito Federal,Brasília,Taguatina Norte
